"ID","Название тест кейса","Предусловия","Шаги тест кейса","Ожидаемый результат","Тип"
"11","Закрытие Issue","Существует открытый Issue","1. Открыть Issue; 2. Нажать кнопку 'Close Issue'","Issue закрыт, статус изменён на 'Closed'","Положительный"
"12","Комментирование Issue","Существует Issue; пользователь авторизован","1. Открыть Issue; 2. Ввести текст комментария; 3. Нажать 'Comment'","Комментарий добавлен и отображается под Issue","Положительный"
"13","Fork репозитория","Пользователь авторизован; репозиторий публичный","1. Перейти в нужный репозиторий; 2. Нажать кнопку 'Fork'; 3. Выбрать аккаунт для форка","Репозиторий успешно скопирован в аккаунт пользователя","Положительный"
"14","Клонирование репозитория","Пользователь имеет установленный git-клиент; репозиторий публичный","1. Открыть страницу репозитория; 2. Скопировать URL для клонирования; 3. Выполнить команду git clone <URL>","Репозиторий успешно склонирован на локальную машину","Положительный"
"15","Публикация коммита","Пользователь имеет репозиторий; локально внесены изменения","1. Внести изменения в код; 2. Выполнить команду git add .; 3. Выполнить команду git commit -m 'Test commit'; 4. Выполнить git push origin <branch_name>","Изменения опубликованы в удалённом репозитории","Положительный"
"16","Добавление Collaborator","Пользователь является владельцем репозитория","1. Перейти в настройки репозитория; 2. Выбрать раздел 'Manage access'; 3. Нажать 'Invite a collaborator'; 4. Ввести имя пользователя; 5. Отправить приглашение","Приглашение отправлено, пользователь получает уведомление","Положительный"
"17","Создание Pull Request для изменений","Существует ветка с изменениями; пользователь авторизован","1. Перейти в репозиторий; 2. Нажать 'Compare & pull request'; 3. Заполнить описание; 4. Нажать 'Create pull request'","Pull Request создан и отображается в списке","Положительный"
"18","Просмотр кода репозитория","Пользователь авторизован; репозиторий содержит файлы","1. Перейти в репозиторий; 2. Выбрать нужный файл или папку","Содержимое файла или папки отображается корректно","Положительный"
"19","Запуск GitHub Actions workflow","Репозиторий содержит корректно настроенный workflow файл","1. Перейти в раздел 'Actions' репозитория; 2. Выбрать последний workflow; 3. Нажать 'Re-run jobs'","Workflow запускается, статус выполнения отображается","Положительный"
"20","Отправка Pull Request review","Существует открытый Pull Request; пользователь авторизован","1. Открыть Pull Request; 2. Нажать 'Review changes'; 3. Выбрать вариант (Approve/Request changes); 4. Добавить комментарий; 5. Нажать 'Submit review'","Review успешно отправлен и отображается в истории","Положительный"
"21","Просмотр уведомлений пользователя","Пользователь авторизован; есть новые уведомления","1. Нажать на иконку уведомлений; 2. Просмотреть список уведомлений","Отображается актуальный список уведомлений, новые выделены","Положительный"
"22","Настройка двухфакторной аутентификации (2FA)","Пользователь авторизован","1. Перейти в настройки аккаунта; 2. Выбрать раздел 'Security'; 3. Нажать 'Enable two-factor authentication'; 4. Следовать инструкциям","2FA успешно включена, выводится подтверждающее сообщение","Положительный"
"23","Поиск репозитория через поиск сайта","Пользователь авторизован","1. Ввести название репозитория в поисковую строку; 2. Нажать 'Search'","Отображаются результаты поиска, соответствующие введённому названию","Положительный"
"24","Подписка на репозиторий (Watch)","Пользователь авторизован; репозиторий существует","1. Перейти в репозиторий; 2. Нажать кнопку 'Watch'","Пользователь подписан на уведомления репозитория, статус меняется на 'Watching'","Положительный"
"25","Создание Gist","Пользователь авторизован","1. Перейти на страницу создания Gist; 2. Ввести заголовок и описание; 3. Добавить один или несколько файлов; 4. Нажать 'Create public gist'","Gist создан и отображается на странице пользователя","Положительный"
"26","Редактирование профиля пользователя","Пользователь авторизован","1. Перейти в настройки профиля; 2. Изменить данные (например, имя или bio); 3. Нажать 'Save'","Изменения сохранены, обновлённая информация отображается на странице профиля","Положительный"
"27","Загрузка файла через веб-интерфейс","Пользователь имеет права на запись в репозиторий","1. Перейти в репозиторий; 2. Нажать 'Upload files'; 3. Выбрать файл или перетащить его; 4. Нажать 'Commit changes'","Файл загружен в репозиторий и отображается в списке файлов","Положительный"
"28","Просмотр статистики репозитория","Пользователь авторизован; репозиторий содержит активность","1. Перейти в репозиторий; 2. Нажать 'Insights'; 3. Выбрать раздел 'Pulse' или 'Graphs'","Статистика репозитория отображается корректно","Положительный"
"29","Настройка вебхуков","Пользователь является администратором репозитория","1. Перейти в настройки репозитория; 2. Выбрать 'Webhooks'; 3. Нажать 'Add webhook'; 4. Ввести URL и выбрать событие; 5. Нажать 'Add webhook'","Вебхук настроен, тестовое событие проходит успешно","Положительный"
"30","Выход из системы","Пользователь авторизован","1. Нажать на иконку профиля; 2. Выбрать 'Sign out'","Пользователь выходит из системы, отображается страница входа","Положительный"
